$gaspirun -N /scratch/fuchs/aglippert/zhuz/gaspi/gaspi-benchmark/programs/gaspi-benchmark/build/gaspi-benchmark
#------------------------------------------------------------
# GASPI Benchmark Suite by Florian Beenen
# Date:  2022-09-07 12:59:43
# Maximum repetitions: 1024
# Minimum repetitions: 10
# Block Aggregation: 1
# Warmup runs: 10%
# Repetition reduction threshold: 65536 bytes
# Start transfer size: 1 bytes
# Last transfer size: 4194304 bytes
# Transfer size increase factor: 2
# Average results over all nodes: false
# Grid Benchmark - Grid start size: 16
# Grid Benchmark - Grid last size: 2048
# Grid Benchmark - Grid size increase factor: 2
# Grid Benchmark - Iterations on one grid: 128
# Grid Benchmark - Repetition reduce threshold after grid size: 512
# Grid Benchmark - Minimum repetitions: 10
# Grid Benchmark - Maximum repetitions: 128
# Grid Benchmark - Processing Threads: 1
# Number of processes: 4
#------------------------------------------------------------

# List of Benchmarks to run:
# gbs_ubench_ping_pong
# gbs_ubench_put_single_udir
# gbs_ubench_put_single_bdir
# gbs_ubench_put_all_udir
# gbs_ubench_put_all_bdir
# gbs_ubench_put_solo_single_udir
# gbs_ubench_put_aggregate_single_udir
# gbs_ubench_get_single_udir
# gbs_ubench_get_single_bdir
# gbs_ubench_get_all_udir
# gbs_ubench_get_all_bdir
# gbs_ubench_barrier
# gbs_ubench_twosided_ping_pong
# gbs_ubench_allreduce_min
# gbs_ubench_allreduce_max
# gbs_ubench_allreduce_sum
# gbs_ubench_atomic_fetch_add_single
# gbs_ubench_atomic_fetch_add_all
# gbs_ubench_atomic_compare_swap_single
# gbs_ubench_atomic_compare_swap_all
# gbs_ubench_noti_single_udir
# gbs_ubench_noti_single_bdir
# gbs_ubench_noti_all_udir
# gbs_ubench_noti_all_bdir
# gbs_ubench_put_true_exchange
# gbs_ubench_get_true_exchange
# gbs_abench_grid_stencil

#------------------------------------------------------------
# Benchmarking gbs_ubench_ping_pong
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    4194304   10              665.68         668.14         667.11         6287.31

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_aggregate_single_udir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            4.47           73.95          5.42           0.18
    2         1024            4.40           18.29          4.60           0.43
    4         1024            4.41           19.71          4.65           0.86
    8         1024            4.37           38.64          4.80           1.67
    16        1024            4.38           17.07          4.53           3.53
    32        1024            4.40           97.10          5.45           5.87
    64        1024            4.40           13.56          4.49           14.26
    128       1024            4.42           9.05           4.51           28.41
    256       1024            5.01           17.10          5.29           48.37
    512       1024            5.14           182.48         6.56           78.07
    1024      1024            5.35           90.43          7.15           143.14
    2048      1024            5.83           10.37          5.92           346.16
    4096      1024            6.75           9.59           6.86           597.26
    8192      1024            7.38           19.59          7.67           1068.29
    16384     1024            8.65           20.94          9.09           1802.67
    32768     1024            11.19          14.81          11.62          2820.06
    65536     512             16.30          19.81          16.81          3897.59
    131072    256             26.48          27.65          27.10          4835.83
    262144    128             47.24          56.63          48.12          5448.09
    524288    64              88.69          95.88          89.66          5847.43
    1048576   32              171.41         181.30         172.93         6063.56
    2097152   16              336.62         341.15         337.65         6211.05
    4194304   10              665.29         667.66         666.59         6292.16

#------------------------------------------------------------
# Benchmarking gbs_ubench_get_single_udir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            3.93           37.38          4.51           0.22
    2         1024            3.89           14.65          4.10           0.49
    4         1024            3.89           14.81          4.07           0.98
    8         1024            3.89           15.66          4.05           1.98
    16        1024            3.88           7.51           4.02           3.98
    32        1024            3.88           14.80          4.03           7.94
    64        1024            3.88           8.80           4.02           15.92
    128       1024            3.89           8.46           4.03           31.78
    256       1024            3.89           6.49           4.02           63.62
    512       1024            3.97           4.72           4.05           126.49
    1024      1024            4.20           4.68           4.29           238.79
    2048      1024            4.68           9.87           4.90           418.33
    4096      1024            5.60           10.00          5.83           702.55
    8192      1024            6.24           14.66          6.53           1255.25
    16384     1024            7.52           35.25          7.87           2081.92
    32768     1024            10.13          14.12          10.43          3141.48
    65536     512             15.35          17.25          15.66          4184.07
    131072    256             25.59          26.62          26.06          5030.02
    262144    128             46.52          47.69          47.00          5577.14
    524288    64              88.16          89.62          88.91          5896.85
    1048576   32              171.28         173.22         172.21         6089.00
    2097152   16              336.42         338.79         337.82         6207.85
    4194304   10              664.38         667.11         665.92         6298.55

#------------------------------------------------------------
# Benchmarking gbs_ubench_get_single_bdir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            4.13           144.85         8.14           0.12
    2         1024            4.46           17.02          8.01           0.25
    4         1024            4.06           19.19          7.91           0.51
    8         1024            3.89           20.43          7.70           1.04
    16        1024            3.98           19.42          7.75           2.06
    32        1024            4.11           20.31          7.67           4.17
    64        1024            3.95           15.00          7.56           8.46
    128       1024            3.98           15.74          7.49           17.09
    256       1024            6.25           19.50          7.57           33.82
    512       1024            4.18           19.57          7.26           70.53
    1024      1024            4.42           12.32          7.64           134.01
    2048      1024            4.86           13.53          8.62           237.50
    4096      1024            5.67           67.01          9.45           433.51
    8192      1024            7.80           25.31          9.96           822.77
    16384     1024            7.82           111.51         13.61          1204.01
    32768     1024            12.77          759.63         19.98          1640.32
    65536     512             18.77          182.50         23.72          2763.08
    131072    256             30.16          45.84          33.30          3936.58
    262144    128             53.74          169.69         55.90          4689.82
    524288    64              102.38         104.03         103.03         5088.68
    1048576   32              208.31         210.91         209.65         5001.57
    2097152   16              419.97         431.51         422.05         4968.98
    4194304   10              889.68         5215.74        1410.35        2973.94

#------------------------------------------------------------
# Benchmarking gbs_ubench_get_all_udir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            4.56           12.65          5.03           0.60
    2         1024            4.45           16.21          4.80           1.25
    4         1024            4.42           37.91          4.86           2.47
    8         1024            4.41           14.72          4.73           5.07
    16        1024            4.44           272.74         5.38           8.92
    32        1024            4.42           15.48          4.72           20.34
    64        1024            4.43           13.45          4.72           40.66
    128       1024            4.44           14.10          4.72           81.33
    256       1024            4.43           14.41          4.73           162.48
    512       1024            4.45           7.98           4.73           324.92
    1024      1024            4.73           10.43          5.03           610.15
    2048      1024            5.43           24.53          6.32           972.83
    4096      1024            6.95           13.90          7.12           1725.34
    8192      1024            8.85           16.59          9.04           2718.78
    16384     1024            12.65          15.37          12.80          3839.39
    32768     1024            20.14          24.41          20.32          4836.84
    65536     512             35.21          39.47          35.51          5536.97
    131072    256             65.37          69.80          66.09          5949.99
    262144    128             125.61         127.01         125.99         6242.22
    524288    64              246.09         247.10         246.53         6380.02
    1048576   32              487.01         488.10         487.48         6453.04
    2097152   16              969.13         969.95         969.51         6489.31
    4194304   10              1932.91        1933.88        1933.47        6507.96

#------------------------------------------------------------
# Benchmarking gbs_ubench_get_all_bdir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            4.81           20.10          7.74           0.39
    2         1024            4.63           17.26          6.76           0.89
    4         1024            4.44           12.91          6.66           1.80
    8         1024            4.37           18.39          6.71           3.58
    16        1024            4.36           16.43          7.10           6.76
    32        1024            4.38           18.77          7.06           13.60
    64        1024            4.33           18.10          6.79           28.27
    128       1024            4.38           17.05          7.15           53.71
    256       1024            4.58           20.15          6.66           115.27
    512       1024            4.73           28.85          7.57           202.92
    1024      1024            5.14           20.11          7.64           402.28
    2048      1024            5.95           74.30          9.70           633.67
    4096      1024            7.59           17.12          11.97          1026.76
    8192      1024            10.77          18.49          14.93          1646.39
    16384     1024            16.19          25.90          20.53          2394.63
    32768     1024            25.89          42.53          33.50          2934.07
    65536     512             46.89          974.14         68.09          2887.37
    131072    256             82.24          127.75         99.92          3935.12
    262144    128             153.44         845.28         171.65         4581.58
    524288    64              304.65         2227.89        352.36         4463.75
